MonitoringLocationIdentifier,OrganizationIdentifier.x,OrganizationFormalName.x,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,Depth,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,Result,OrganizationIdentifier.y,OrganizationFormalName.y,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode
EPA_GLNPO-MI30B,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M30bG19:19GM42S91:4438212,Sample-Routine,Water,Surface Water,2019-08-03,30.8,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,13.394,mg/l,13.394,EPA_GLNPO,EPA Great Lakes National Program,Lake Michigan Station #30B,Great Lake,NA,04060200,NA,NA,NA,NA,43.9334399815,-86.5634548148,26,105
EPA_GLNPO-MI30B,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M30bG19:19GM42I92:4438213,Sample-Routine,Water,Surface Water,2019-08-03,32.9,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,13.728,mg/l,13.728,EPA_GLNPO,EPA Great Lakes National Program,Lake Michigan Station #30B,Great Lake,NA,04060200,NA,NA,NA,NA,43.9334399815,-86.5634548148,26,105
EPA_GLNPO-MI51B,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M51bG19:19GM43I52:4438355,Sample-Routine,Water,Surface Water,2019-08-04,99.2,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,13.691,mg/l,13.691,EPA_GLNPO,EPA Great Lakes National Program,Lake Michigan Station #51B,Great Lake,NA,04060200,NA,NA,NA,NA,45.1833457778,-86.1001966667,26,089
EPA_GLNPO-MI51B,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M51bG19:19GM43S51:4438354,Sample-Routine,Water,Surface Water,2019-08-04,97.2,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,13.313,mg/l,13.313,EPA_GLNPO,EPA Great Lakes National Program,Lake Michigan Station #51B,Great Lake,NA,04060200,NA,NA,NA,NA,45.1833457778,-86.1001966667,26,089
EPA_GLNPO-MI53B,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M53bG19:19GM44I12:4438376,Sample-Routine,Water,Surface Water,2019-08-04,60.1,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,13.414,mg/l,13.414,EPA_GLNPO,EPA Great Lakes National Program,Lake Michigan Station #53B,Great Lake,NA,04060200,NA,NA,NA,NA,45.4333724844,-85.2166912188,26,029
EPA_GLNPO-MI53B,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-M53bG19:19GM44S11:4438375,Sample-Routine,Water,Surface Water,2019-08-04,58.1,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,12.839,mg/l,12.839,EPA_GLNPO,EPA Great Lakes National Program,Lake Michigan Station #53B,Great Lake,NA,04060200,NA,NA,NA,NA,45.4333724844,-85.2166912188,26,029
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR07130473-07132006-0,Sample,Water,NA,2006-07-13,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,12.04,mg/l,12.04,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR0414044413-04142006-0,Sample,Water,NA,2006-04-14,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,10.11,mg/l,10.11,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR10160552-10162006-0,Sample,Water,NA,2006-10-16,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,11.55,mg/l,11.55,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR10160554C-10162006-0,Sample,Water,NA,2006-10-16,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,11.91,mg/l,11.91,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR0414044420-04142006-0,Sample,Water,NA,2006-04-14,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,10.03,mg/l,10.03,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR10160554B-10162006-0,Sample,Water,NA,2006-10-16,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,11.31,mg/l,11.31,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR07130471-07132006-0,Sample,Water,NA,2006-07-13,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,12.33,mg/l,12.33,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR10160554A-10162006-0,Sample,Water,NA,2006-10-16,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,11.68,mg/l,11.68,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR041404446-04142006-0,Sample,Water,NA,2006-04-14,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,10.07,mg/l,10.07,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR07180643-07182007-0,Sample,Water,NA,2007-07-18,7,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSVD,NA,Chloride,Total,13.4,mg/l,13.4,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR10170719-10172007-0,Sample,Water,NA,2007-10-17,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,10.5,mg/l,10.5,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR07230807-07232008-0,Sample,Water,NA,2008-07-23,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,16.52,mg/l,16.52,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI-LMICH,LRBOI,Little River Band of Ottawa Indians,LRBOI-LR04140767-04142008-0,Sample,Water,NA,2008-04-14,0,NA,NA,LRB_NUT,LRB_NUT,LRB_NUT,WSWB,NA,Chloride,Total,11.55,mg/l,11.55,LRBOI,Little River Band of Ottawa Indians,Lake Michigan,Great Lake,NA,04060104,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI_WQX-LMich,LRBOI_WQX,"Little River Band of Ottawa Indians, Michigan (Tribal)",LRBOI_WQX-LR10051167B,Sample-Routine,Water,NA,1899-12-31,0,NA,NA,LRBOI-QAPP~LRB_QAPP,LRBIO_WQX,LRBOI-QAPP~LRB_QAPP,Water Bottle,NA,Chloride,Total,14,mg/l,14,LRBOI_WQX,"Little River Band of Ottawa Indians, Michigan (Tribal)",Lake Michigan,Great Lake,NA,04060103,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI_WQX-LMich,LRBOI_WQX,"Little River Band of Ottawa Indians, Michigan (Tribal)",LRBOI_WQX-LR10051167A,Sample-Routine,Water,NA,1899-12-31,0,NA,NA,LRBOI-QAPP~LRB_QAPP,LRBIO_WQX,LRBOI-QAPP~LRB_QAPP,Water Bottle,NA,Chloride,Total,14.2,mg/l,14.2,LRBOI_WQX,"Little River Band of Ottawa Indians, Michigan (Tribal)",Lake Michigan,Great Lake,NA,04060103,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI_WQX-LMich,LRBOI_WQX,"Little River Band of Ottawa Indians, Michigan (Tribal)",LRBOI_WQX-LR04150869,Sample-Routine,Water,NA,2009-04-15,0,NA,NA,LRB_QAPP,LRBOI-QAPP,LRBOI Quality Assurance Project Plan,Water Bottle,NA,Chloride,Total,10.31,mg/l,10.31,LRBOI_WQX,"Little River Band of Ottawa Indians, Michigan (Tribal)",Lake Michigan,Great Lake,NA,04060103,NA,NA,NA,NA,44.25226,-86.35072,26,101
LRBOI_WQX-LMich,LRBOI_WQX,"Little River Band of Ottawa Indians, Michigan (Tribal)",LRBOI_WQX-LR06100904A,Sample-Routine,Water,NA,2009-06-10,0,NA,NA,LRB_QAPP,LRBOI-QAPP,LRBOI Quality Assurance Project Plan,Water Bottle,NA,Chloride,Total,12.24,mg/l,12.24,LRBOI_WQX,"Little River Band of Ottawa Indians, Michigan (Tribal)",Lake Michigan,Great Lake,NA,04060103,NA,NA,NA,NA,44.25226,-86.35072,26,101
