MonitoringLocationIdentifier,OrganizationIdentifier.x,OrganizationFormalName.x,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,Depth,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,Result,OrganizationIdentifier.y,OrganizationFormalName.y,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1994-10-21:94GA23S11:82585,Sample-Routine,Water,Surface Water,1994-10-21,12.5,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.11,mg/l,10.11,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1994-08-11:94GA13S71:82581,Sample-Routine,Water,Surface Water,1994-08-11,8,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.37,mg/l,10.37,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1994-08-11:94GA13S61:82579,Sample-Routine,Water,Surface Water,1994-08-11,1,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.37,mg/l,10.37,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1994-10-21:94GA23S01:82583,Sample-Routine,Water,Surface Water,1994-10-21,0.9,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.15,mg/l,10.15,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1994-06-19:94GA11S20:82577,Sample-Routine,Water,Surface Water,1994-06-19,8,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.19,mg/l,10.19,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1994-08-11:94GA13S62:82580,Sample-Routine,Water,Surface Water,1994-08-11,5,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.36,mg/l,10.36,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1994-10-21:94GA23S02:82584,Sample-Routine,Water,Surface Water,1994-10-21,7,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.1,mg/l,10.1,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1994-06-19:94GA09I04:82574,Sample-Routine,Water,Surface Water,1994-06-19,20,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.16,mg/l,10.16,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1994-06-19:94GA09S01:82575,Sample-Routine,Water,Surface Water,1994-06-19,1,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.19,mg/l,10.19,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1994-06-19:94GA09S02:82576,Sample-Routine,Water,Surface Water,1994-06-19,2,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.19,mg/l,10.19,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
EPA_GLNPO-110,EPA_GLNPO,EPA Great Lakes National Program,EPA_GLNPO-110-1995-09-23:95GA27S61:82593,Sample-Routine,Water,Surface Water,1995-09-24,2,NA,NA,UNKNOWN,EPA_GLNPO,Unknown,Miscellaneous (Other),NA,Chloride,Dissolved,10.29,mg/l,10.29,EPA_GLNPO,EPA Great Lakes National Program,LM110,Great Lake,LAKE MICHIGAN- BIOTA- #1- 10M depth,04060200,NA,NA,NA,NA,44.680556,-87.34,55,029
