OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,Result
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01200179,Sample-Routine,Water,Surface Water,2012-04-30,17:59:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,"L-1250029 Received May 03, 2012",NA,Not determined,Storm,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,46.9,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2012-05-15,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2012-04-30T22:59:00Z,NA,46.9
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01800592,Sample-Routine,Water,Surface Water,2018-07-11,11:00:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,L-1930059 Deleted all tests and added LS2711 and LC1571. 7/17/2018 mec,NA,"Stable, normal stage",Routine sample,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",US DH-81 with Teflon cap and nozzle,NA,Chloride,Dissolved,39.4,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2018-07-19,NA,NA,NA,NA,NA,NWIS,2018-07-11T16:00:00Z,NA,39.4
USGS-IN,USGS Indiana Water Science Center,nwisin.01.02000751,Sample-Routine,Water,Surface Water,2020-08-24,11:30:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,60,USGS parameter code 82398,Weighted bottle,US DH-81,NA,Chloride,Dissolved,45.4,mg/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-09-15,NA,NA,NA,NA,NA,NWIS,2020-08-24T16:30:00Z,NA,45.4
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01100205,Sample-Routine,Water,Surface Water,2011-09-07,11:35:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,"L-2520047 Received September 08, 2011",NA,Not determined,Routine sample,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,46.5,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2011-10-27,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2011-09-07T16:35:00Z,NA,46.5
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01800001,Sample-Routine,Water,Surface Water,2017-10-05,10:15:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,US DH-81 with Teflon cap and nozzle,NA,Chloride,Dissolved,39,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2017-10-18,NA,NA,NA,NA,NA,NWIS,2017-10-05T15:15:00Z,NA,39
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01400053,Sample-Routine,Water,Surface Water,2014-05-01,12:30:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,A-1220110 GX14NK00F6X7600 L-1220110 X=time on sample 1230     date and time added to ASR and LIM's per samples pg,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Dissolved,66.6,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2014-05-09,NA,Long Term Method Detection Level,0.02,mg/l,NA,NWIS,2014-05-01T17:30:00Z,NA,66.6
USGS-IN,USGS Indiana Water Science Center,nwisin.01.02000810,Sample-Routine,Water,Surface Water,2020-09-30,10:35:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,60,USGS parameter code 82398,Weighted bottle,US DH-81 with Teflon cap and nozzle,NA,Chloride,Dissolved,46.9,mg/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-11-13,NA,NA,NA,NA,NA,NWIS,2020-09-30T15:35:00Z,NA,46.9
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01100170,Sample-Routine,Water,Surface Water,2011-08-11,10:45:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,A-2240107 FW 0967,NA,Not determined,Routine sample,50,USGS parameter code 82398,Point sample,"Sampler, point, automatic",NA,Chloride,Dissolved,51,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2011-09-16,NA,Long Term Method Detection Level,0.06,mg/l,NA,NWIS,2011-08-11T15:45:00Z,NA,51
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01700211,Sample-Routine,Water,Surface Water,2017-03-06,12:45:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,NA,NA,"Stable, normal stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,US DH-81 with Teflon cap and nozzle,NA,Chloride,Dissolved,51.5,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2017-03-10,NA,NA,NA,NA,NA,NWIS,2017-03-06T17:45:00Z,NA,51.5
USGS-IN,USGS Indiana Water Science Center,nwisin.01.01600325,Sample-Routine,Water,Surface Water,2016-06-07,11:30:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04092750,MM-47054A,NA,"Stable, normal stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,US DH-81 with Teflon cap and nozzle,NA,Chloride,Dissolved,52.6,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2016-06-10,NA,NA,NA,NA,NA,NWIS,2016-06-07T16:30:00Z,NA,52.6
