OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartDateTime,ActivityEndDateTime,Result
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00403885,Sample-Routine,Water,Surface Water,2004-08-31,09:15:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04047980,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Total,1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-08-31T14:15:00Z,NA,1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00503485,Sample-Routine,Water,Surface Water,2004-11-08,11:00:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04047980,NA,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-11-08T16:00:00Z,NA,1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00403745,Sample-Routine,Water,Surface Water,2004-06-29,14:45:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04047980,NA,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-06-29T19:45:00Z,NA,1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00900518,Sample-Routine,Water,Surface Water,2009-05-21,08:55:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04047980,NA,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2009-05-21T13:55:00Z,NA,1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01000030,Sample-Routine,Water,Surface Water,2009-10-19,12:30:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04047980,NA,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),2009-10-27,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2009-10-19T17:30:00Z,NA,1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00403883,Sample-Routine,Water,Surface Water,2004-08-31,14:00:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04047980,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Total,1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),2004-09-09,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-08-31T19:00:00Z,NA,1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00901484,Sample-Routine,Water,Surface Water,2009-09-02,11:00:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04047980,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Total,1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2009-09-02T16:00:00Z,NA,1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00403746,Sample-Routine,Water,Surface Water,2004-08-31,12:00:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04047980,NA,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-08-31T17:00:00Z,NA,1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.00403744,Sample-Routine,Water,Surface Water,2004-05-04,13:30:00,EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04047980,NA,NA,"Stable, normal stage",Routine sample,70,USGS parameter code 82398,Grab sample  (dip),Grab sample,NA,Chloride,Total,1,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,99220,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michigan Department of Environmental Quality (MDEQ),NA,NA,Lower Reporting Limit,1,mg/l,NA,NWIS,2004-05-04T18:30:00Z,NA,1
USGS-MI,USGS Michigan Water Science Center,nwismi.01.97800097,Sample-Routine,Water,Surface Water,1978-09-20,11:30:00,EDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04057004,NA,NA,Not determined,Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,2,mg/l,NA,Historical,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,1978-09-20T15:30:00Z,NA,2
