OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ProviderName
USGS-IN,USGS Indiana Water Science Center,USGS-04092750,"INDIANA HARBOR CANAL AT EAST CHICAGO, IN",Stream: Canal,NA,04040001,NA,NA,NA,NA,41.6492023,-87.4686529,24000,1,seconds,Interpolated from MAP.,NAD83,569.89,feet,0.02,feet,Differentially corrected Global Positioning System.,NAVD88,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-04093200,"LITTLE CALUMET RIVER AT GARY, IN",Stream,NA,04040001,5.82,sq mi,NA,NA,41.57198089,-87.3203151,24000,1,seconds,Interpolated from MAP.,NAD83,580,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-04094000,"LITTLE CALUMET RIVER AT PORTER, IN",Stream,NA,04040001,66.2,sq mi,NA,NA,41.62170456,-87.0869777,24000,1,seconds,Interpolated from MAP.,NAD83,603.48,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-04095000,LITTLE CALUMET R NR MCCOOL IN,Stream,NA,04040001,149,sq mi,NA,NA,41.6111485,-87.1542012,24000,Unknown,Unknown,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-04095090,"PORTAGE-BURNS WATERWAY AT PORTAGE, IN",Stream: Ditch,NA,04040001,331,sq mi,NA,NA,41.62225939,-87.175868500000007,24000,1,seconds,Interpolated from Digital MAP.,NAD83,574.38,feet,0.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-04095300,"TRAIL CREEK AT MICHIGAN CITY, IN",Stream,NA,04040001,54.1,sq mi,54.1,sq mi,41.7167066,-86.85975109,24000,1,seconds,Interpolated from MAP.,NAD83,583.44,feet,0.05,feet,Differentially corrected Global Positioning System.,NAVD88,US,18,091,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413538087131301,LITTLE CALUMET R-BURNS DITCH AT USHWY20 AT PORTAGE,Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.59402778,-87.2204444,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,601.19,feet,0.2,feet,Level or other surveyed method.,NAVD88,US,18,127,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413620087142502,US12 DITCH 0.75 MI WEST OF SPENCER ST AT GARY IN,Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.60544444,-87.2402778,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,601.8,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413621087140901,US12 DITCH CULVERT DS SPENCER ST AT GARY IN,Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.60644444,-87.2359722,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,601.87,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-IN,USGS Indiana Water Science Center,USGS-413627087135601,US12 DITCH CULVERT US UNION ST AT GARY IN,Stream: Ditch,NA,04040001,NA,NA,NA,NA,41.60730556,-87.23213889,24000,.1,seconds,Differentially corrected Global Positioning System.,NAD83,601.91,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,18,089,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
