OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ProviderName
USGS-MI,USGS Michigan Water Science Center,USGS-04047980,"FOX RIVER AT FOREST CAMPGROUND NEAR SENEY, MI",Stream,NA,04060106,79,sq mi,NA,NA,46.40025397,-86.0284819,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,153,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057004,"MANISTIQUE RIVER ABOVE MANISTIQUE, MI",Stream,NA,04060106,1445,sq mi,NA,NA,45.971639,-86.2431974,24000,1,seconds,Interpolated from MAP.,NAD83,605,feet,5,feet,Interpolated from topographic map.,NGVD29,US,26,153,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057005,"MANISTIQUE RIVER AT MANISTIQUE, MI",Stream,NA,04060106,1450,sq mi,NA,NA,45.9516396,-86.2484744,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,153,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057496,"EIGHTEEN MILE CREEK AT CO RD 442 NR NAHMA JCT, MI",Stream,NA,04030112,NA,NA,NA,NA,46.01524265,-86.6943134,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057521,"STURGEON RIVER AT COUNTY ROAD 499 AT NAHMA, MI",Stream,NA,04030112,219,sq mi,NA,NA,45.84080655,-86.6687522,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057773,"MID BR ESCANABA R AT LS&I RR BRIDGE NR HUMBOLDT,MI",Stream,NA,04030110,NA,NA,NA,NA,46.50215817,-87.9095793,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057800,"MIDDLE BRANCH ESCANABA RIVER AT HUMBOLDT, MI",Stream,NA,04030110,45.7,sq mi,NA,NA,46.49910267,-87.8865238,24000,1,seconds,Interpolated from MAP.,NAD83,1521.37,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057801,"M BR ESCANABA R AT US HWY 41 NR HUMBOLDT, MI",Stream,NA,04030110,47.6,sq mi,NA,NA,46.49326948,-87.8679127,24000,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057803,"M BR ESCANABA RIVER AT CLARKSBURG, MI",Stream,NA,04030110,48.1,sq mi,NA,NA,46.48938069,-87.8579127,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057820,"M BR ESCANABA RIVER NR GREENWOOD, MI",Stream,NA,04030110,73.3,sq mi,NA,NA,46.4199384,-87.79735719,NA,1,seconds,Interpolated from MAP.,NAD83,1400,feet,10,feet,Reported method of determination.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057850,"BLACK RIVER NR HUMBOLDT, MI",Stream,NA,04030110,11.3,sq mi,NA,NA,46.4435489,-87.9354125,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057855,"LAKE LORY OUTLET NR HUMBOLDT, MI",Stream,NA,04030110,NA,NA,NA,NA,46.4666037,-87.8965238,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057860,"MCKINNON LAKE OUTLET NR HUMBOLDT, MI",Stream,NA,04030110,NA,NA,NA,NA,46.4727146,-87.9026349,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057870,"LAKE LORY OUTLET AT CO RD 601 NEAR REPUBLIC, MI",Stream,NA,04030110,7.45,sq mi,NA,NA,46.44660436,-87.9312459,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057900,"BLACK RIVER AT COUNTY ROAD NEAR REPUBLIC, MI",Stream,NA,04030110,34.4,sq mi,NA,NA,46.4188274,-87.8893015,24000,1,seconds,Interpolated from MAP.,NAD83,1470,feet,10,feet,Interpolated from topographic map.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04057980,"BLACK RIVER NR GREENWOOD, MI",Stream,NA,04030110,50.8,sq mi,NA,NA,46.395217,-87.775135,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058000,"MIDDLE BRANCH ESCANABA RIVER NEAR ISHPEMING, MI",Stream,NA,04030110,128,sq mi,NA,NA,46.39660588,-87.7593017,24000,1,seconds,Interpolated from MAP.,NAD83,1389.02,feet,0.01,feet,Reported method of determination.,NGVD29,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058020,"WEST BRANCH CREEK AT CO RD 581 NR NATIONAL MINE,MI",Stream,NA,04030110,19.6,sq mi,NA,NA,46.36132928,-87.7845794,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-MI,USGS Michigan Water Science Center,USGS-04058050,"M BR ESCANABA RIVER ADJ CO RD MWD NR SOUMI, MI",Stream,NA,04030110,179,sq mi,NA,NA,46.3604962,-87.6145807,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,26,103,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
