OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ProviderName
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063600,"PINE RIVER AT PINE RIVER CAMPGROUNDS, WI",Stream,NA,04030108,14.5,sq mi,NA,NA,45.8319035,-88.9167889,NA,5,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063610,"MCDONALD CREEK AT WINDSOR DAM NEAR ALVIN, WI",Stream,NA,04030108,11.6,sq mi,NA,NA,45.8638477,-88.88901199,NA,10,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063630,"PINE RIVER NEAR ALVIN, WI",Stream,NA,04030108,50.9,sq mi,NA,NA,45.89606987,-88.832346,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063640,"N BR PINE RIVER AT WINDSOR DAM NEAR ALVIN, WI",Stream,NA,04030108,27.8,sq mi,NA,NA,45.92856929,-88.8606812,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063649,"PINE CREEK NEAR ALVIN, WI",Stream,NA,04030108,19.2,sq mi,NA,NA,45.8610706,-88.7820656,NA,5,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063660,"PINE RIVER NEAR TIPLER, WI",Stream,NA,04030108,204,sq mi,NA,NA,45.89356899,-88.558738,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063662,"LAUTERMAN CREEK NEAR FLORENCE, WI",Stream,NA,04030108,14,sq mi,NA,NA,45.9055129,-88.5067953,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063665,"WAKEFIELD CREEK AT FLORENCE, WI",Stream,NA,04030108,2.58,sq mi,NA,NA,45.91717859,-88.4431855,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-040636722,"POPPLE RIVER NEAR NEWALD, WI",Stream,NA,04030108,42.3,sq mi,NA,NA,45.7952379,-88.6973406,24000,1,seconds,Interpolated from MAP.,NAD83,1538,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-040636728,"LITTLE POPPLE RIVER NEAR NEWALD, WI",Stream,NA,04030108,12.8,sq mi,NA,NA,45.7671827,-88.69567249,24000,1,seconds,Interpolated from MAP.,NAD83,1544,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063679,"MORGAN CREEK NEAR FENCE, WI",Stream,NA,04030108,6.61,sq mi,NA,NA,45.7666259,-88.5292882,24000,1,seconds,Interpolated from MAP.,NAD83,1450,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063680,"POPPLE RIVER ABOVE SOUTH BRANCH NEAR FENCE, WI",Stream,NA,04030108,85.4,sq mi,NA,NA,45.7582927,-88.5278989,NA,10,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063688,"SOUTH BRANCH POPPLE RIVER NEAR NEWALD, WI",Stream,NA,04030108,9.47,sq mi,NA,NA,45.74496006,-88.5920632,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063690,"SOUTH BRANCH POPPLE RIVER NEAR FENCE, WI",Stream,NA,04030108,12.3,sq mi,NA,NA,45.74440428,-88.5612307,NA,10,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063693,"SIMPSONS CREEK NEAR FENCE, WI",Stream,NA,04030108,15.4,sq mi,NA,NA,45.73468226,-88.5640081,NA,5,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063695,"SOUTH BRANCH POPPLE RIVER AT MOUTH NEAR FENCE, WI",Stream,NA,04030108,32.1,sq mi,NA,NA,45.75357057,-88.5317875,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063700,"POPPLE RIVER NEAR FENCE, WI",Stream,NA,04030108,139,sq mi,NA,NA,45.7636111,-88.4636111,24000,1,seconds,Interpolated from MAP.,NAD83,1406.24,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063701,"POPPLE RIVER TRIBUTARY NEAR FENCE, WI",Stream,NA,04030108,0.23,sq mi,NA,NA,45.76829187,-88.464012,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063720,"POPPLE RIVER NEAR FLORENCE, WI",Stream,NA,04030108,161,sq mi,NA,NA,45.7999572,-88.3967925,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04063800,"WOODS CREEK NEAR FENCE, WI",Stream,NA,04030108,41.9,sq mi,NA,NA,45.83134559,-88.3881828,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04064600,"PINE RIVER NEAR SPREAD EAGLE, WI",Stream,NA,04030108,563,sq mi,NA,NA,45.83995497,-88.1401285,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,037,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04066500,"PIKE RIVER AT AMBERG, WI",Stream,NA,04030108,255,sq mi,NA,NA,45.5,-88,24000,1,seconds,Interpolated from MAP.,NAD83,855,feet,5,feet,Interpolated from topographic map.,NAVD88,US,55,075,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04067500,"MENOMINEE RIVER NEAR MC ALLISTER, WI",Stream,NA,04030108,3930,sq mi,NA,NA,45.3258333,-87.6633333,62500,1,seconds,Interpolated from MAP.,NAD83,622.12,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,55,075,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04067651,"MENOMINEE RIVER AT MOUTH AT MARINETTE, WI",Stream,NA,04030108,4070,sq mi,NA,NA,45.09388889,-87.5936111,24000,1,seconds,Interpolated from MAP.,NAD83,585,feet,5,feet,Interpolated from Digital Elevation Model,NGVD29,US,55,075,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04067700,"PESHTIGO RIVER AT ARGONNE, WI",Stream,NA,04030105,33.6,sq mi,NA,NA,45.67273985,-88.8187258,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04067870,"PESHTIGO RIVER NEAR HOMESTEAD LAKE, WI",Stream,NA,04030105,297,sq mi,NA,NA,45.46607479,-88.333446,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,075,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04067900,"RAT RIVER AT BLACKWELL, WI",Stream,NA,04030105,82.1,sq mi,NA,NA,45.4832977,-88.4984448,NA,1,seconds,Interpolated from MAP.,NAD83,NA,NA,NA,NA,NA,NA,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04067907,"RAT RIVER AT VALLEY LAKE ROAD NEAR WABENO, WI",Stream,NA,04030105,NA,NA,NA,NA,45.4805196,-88.4456675,NA,1,seconds,Interpolated from MAP.,NAD83,1310,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04067930,"OTTER CREEK AT INDIAN MARKET ROAD NEAR WABENO, WI",Stream,NA,04030105,NA,NA,NA,NA,45.4646875,-88.5823326,NA,1,seconds,Interpolated from MAP.,NAD83,1440,feet,10,feet,Interpolated from topographic map.,NGVD29,US,55,041,NA,NA,NA,NA,NA,NA,NA,NA,NWIS
